FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome
33,2016-08-14T05:26:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
34,2016-09-01T13:07:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,False
35,2017-01-14T17:54:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509092b78566f87,True
36,2017-02-19T14:39:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
37,2017-03-16T06:00:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
38,2017-03-30T22:27:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
39,2017-05-01T11:15:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
40,2017-05-15T23:21:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
41,2017-06-03T21:07:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
42,2017-06-23T19:10:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
43,2017-06-25T20:25:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509092b78566f87,True
44,2017-07-05T23:35:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
45,2017-08-14T16:31:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
46,2017-08-24T18:50:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509092b78566f87,True
47,2017-09-07T13:50:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
48,2017-10-09T12:37:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509092b78566f87,True
49,2017-10-11T22:53:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
50,2017-10-30T19:34:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
51,2017-12-15T15:36:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
52,2017-12-23T01:27:23.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509092b78566f87,True
53,2018-01-08T01:00:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
54,2018-01-31T21:25:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
56,2018-02-22T14:17:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509092b78566f87,True
57,2018-03-06T05:33:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
58,2018-03-30T14:13:51.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509092b78566f87,True
59,2018-04-02T20:30:41.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
60,2018-04-18T22:51:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
61,2018-05-11T20:14:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
62,2018-05-22T19:47:58.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509092b78566f87,True
63,2018-06-04T04:45:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
64,2018-06-29T09:42:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
65,2018-07-22T05:50:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
66,2018-07-25T11:39:26.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509092b78566f87,True
67,2018-08-07T05:18:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
68,2018-09-10T04:45:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
69,2018-10-08T02:22:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509092b78566f87,True
70,2018-11-15T20:46:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
71,2018-12-03T18:34:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509092b78566f87,True
72,2018-12-05T18:16:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
73,2018-12-23T13:51:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
74,2019-01-11T15:31:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509092b78566f87,True
75,2019-02-22T01:45:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
76,2019-03-02T07:45:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
78,2019-05-04T06:48:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
79,2019-05-24T02:30:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
80,2019-06-12T14:17:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509092b78566f87,True
82,2019-07-25T22:01:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
83,2019-08-06T22:52:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
84,2019-11-11T14:56:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
85,2019-12-05T17:29:23.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
86,2019-12-17T00:10:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
87,2020-01-07T02:19:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
88,2020-01-19T14:00:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
89,2020-01-29T14:06:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
90,2020-02-17T15:05:55.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
91,2020-03-07T04:50:31.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
92,2020-03-18T12:16:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
93,2020-04-22T19:30:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
94,2020-05-30T19:22:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
95,2020-06-04T01:25:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
96,2020-06-13T09:21:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
97,2020-06-30T19:55:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
98,2020-07-20T21:30:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
99,2020-08-07T05:12:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
100,2020-08-18T14:31:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
101,2020-08-30T23:18:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
102,2020-09-03T12:46:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
103,2020-10-06T11:29:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
104,2020-10-18T12:25:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
105,2020-10-24T15:31:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
106,2020-11-05T23:24:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
107,2020-11-16T00:27:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
108,2020-11-21T17:17:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509092b78566f87,True
109,2020-11-25T02:13:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
110,2020-12-06T16:17:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
111,2020-12-13T17:30:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
112,2020-12-19T14:00:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
113,2021-01-08T02:15:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
114,2021-01-20T13:02:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
115,2021-01-24T15:00:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
116,2021-02-04T06:19:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
117,2021-02-16T03:59:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
118,2021-03-04T08:24:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
119,2021-03-11T08:13:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
120,2021-03-14T10:01:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
121,2021-03-24T08:28:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
122,2021-04-07T16:34:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
123,2021-04-23T09:49:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
124,2021-04-29T03:44:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
125,2021-05-04T19:01:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
126,2021-05-09T06:42:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
127,2021-05-15T22:54:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
128,2021-05-26T18:59:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
129,2021-06-03T17:29:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
130,2021-06-06T04:26:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
131,2021-06-17T16:09:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
132,2021-06-30T19:31:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
133,2021-08-29T07:14:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
134,2021-09-14T03:55:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509092b78566f87,True
135,2021-09-16T00:02:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
136,2021-11-11T02:03:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
137,2021-11-13T12:40:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
138,2021-11-24T06:20:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509092b78566f87,True
139,2021-12-01T23:20:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
140,2021-12-09T06:00:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
141,2021-12-18T12:41:40.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509092b78566f87,True
142,2021-12-19T03:58:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
143,2021-12-21T10:06:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
144,2022-01-06T21:49:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
145,2022-01-13T15:25:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
146,2022-01-19T00:04:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
147,2022-01-31T23:11:12.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
148,2022-02-02T20:18:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509092b78566f87,True
149,2022-02-03T18:13:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
150,2022-02-21T14:44:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
151,2022-02-25T17:12:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509092b78566f87,True
152,2022-03-03T14:35:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
153,2022-03-09T13:45:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
154,2022-03-19T03:24:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
155,2022-04-01T16:24:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
156,2022-04-08T15:17:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
157,2022-04-17T13:13:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509092b78566f87,True
158,2022-04-21T15:16:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
159,2022-04-27T07:52:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
160,2022-04-29T21:27:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
161,2022-05-06T09:42:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
162,2022-05-13T22:07:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509092b78566f87,True
163,2022-05-14T20:40:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
164,2022-05-18T10:40:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
165,2022-05-25T18:27:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
166,2022-06-08T21:04:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
167,2022-06-01T17:08:50.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
168,2022-06-18T14:19:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509092b78566f87,True
169,2022-06-19T04:27:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
170,2022-06-29T21:04:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
171,2022-07-07T13:11:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
172,2022-07-11T01:39:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509092b78566f87,
173,2022-07-15T00:44:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
174,2022-07-17T14:50:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
175,2022-07-21T17:13:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509092b78566f87,True
176,2022-07-24T00:00:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
177,2022-08-04T23:08:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
178,2022-08-09T22:57:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
179,2022-08-12T21:30:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509092b78566f87,True
180,2022-08-19T19:24:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
181,2022-08-28T02:22:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
182,2022-08-31T05:40:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509092b78566f87,True
183,2022-09-05T02:09:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
184,2022-09-11T01:10:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
185,2022-09-17T01:05:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
186,2022-09-24T23:30:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,True
187,2022-10-05T16:00:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,True
188,2022-10-20T14:50:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,
188,2022-10-08T23:05:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,
188,2022-10-15T05:22:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,
189,2022-11-03T03:24:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,
191,2022-11-08T00:00:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,
192,2022-11-15T00:00:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,
193,2022-11-22T00:00:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,
194,2022-11-18T22:00:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509094188566f88,
195,2022-11-01T00:00:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,
196,2022-11-01T00:00:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,
197,2022-12-05T00:00:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509092b78566f87,
198,2022-11-01T00:00:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,
198,2022-12-01T00:00:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,
199,2022-12-01T00:00:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4502f509092b78566f87,
200,2022-12-01T00:00:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,
203,2022-12-01T00:00:00.000Z,5e9d0d95eda69973a809d1ec,,,5e9e4501f509094ba4566f84,
